Date,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
,,,,,
01-01-2020,682.6364746,690.5499369,680.78252,686.4349413,14004468
02-01-2020,694.2579956,696.8129261,683.7218051,683.7218051,17710316
03-01-2020,695.0945435,697.1294321,688.6959279,693.2178891,20984698
06-01-2020,678.9737549,690.9117161,677.3910503,687.3394016,24519177
07-01-2020,689.4194946,693.8962375,684.4000705,686.8871432,16683622
08-01-2020,684.2418213,693.873583,682.8174114,685.078392,16047902
09-01-2020,700.0008545,700.9052225,692.4265608,695.7502039,14982742
10-01-2020,699.8425903,704.5002067,696.2249972,701.7644027,12478359
13-01-2020,698.0564575,704.8393995,695.6598216,698.6669362,18282382
14-01-2020,691.5900879,700.9053216,688.1760075,696.38336,15816535
15-01-2020,689.0803833,696.3381493,686.548092,694.5067735,15817859
16-01-2020,695.4336548,697.8981484,690.9569119,691.4091564,12847975
17-01-2020,714.9234619,716.7096193,702.3523818,702.488037,29463471
20-01-2020,692.9240112,727.5849153,690.2334255,727.5849153,32545850
21-01-2020,693.624939,699.0286895,688.2437675,691.228303,18922720
22-01-2020,693.3761597,699.4356068,692.3587154,698.1920706,10322817
23-01-2020,690.4369507,697.2651112,687.6559281,694.8006175,11247739
24-01-2020,688.0402832,694.7327882,686.6836707,690.5047164,14628445
27-01-2020,681.2573242,689.3516606,680.5564087,685.0332122,13387750
28-01-2020,665.520874,682.8174274,661.8354834,682.1843093,24532236
29-01-2020,669.1836548,675.7630835,662.0389055,666.5608666,24746565
30-01-2020,652.859375,669.1158451,651.1636546,668.7993162,22402689
31-01-2020,638.3438721,657.1552735,636.3316227,657.0421973,34750310
03-02-2020,626.5188599,633.0531306,616.3670565,619.4646077,30712290
04-02-2020,645.0137939,647.7721772,632.0809668,633.0757718,25383901
05-02-2020,655.0072632,656.951715,646.7773322,648.8573789,18472100
06-02-2020,659.2127075,663.3729217,651.2088684,657.5396265,15538577
07-02-2020,648.2922363,656.7483205,645.8729608,656.1378417,12209212
10-02-2020,649.1740112,653.6507544,637.8012494,645.7372914,15142476
11-02-2020,656.9291382,663.0111647,653.4472002,654.5098629,13999816
12-02-2020,664.8651733,666.9227013,657.9465762,658.466618,13533565
13-02-2020,666.6061401,668.2340632,661.3832631,668.2340632,13565659
14-02-2020,672.6881714,678.9510712,657.0873391,668.0079157,21227841
17-02-2020,668.460144,681.0764417,666.6739868,673.3212737,13149130
18-02-2020,663.553772,667.3974571,659.0318107,667.3974571,11127161
19-02-2020,680.0137939,681.2121119,667.0357487,668.9575612,14084409
20-02-2020,671.9420776,681.9130079,670.9698517,676.9388625,16892268
24-02-2020,653.4020386,667.8949314,650.9601841,664.6165061,21370214
25-02-2020,640.4917603,656.3186241,637.5976617,656.3186241,27745062
26-02-2020,629.4581299,638.660347,627.3554439,637.5976843,29362748
27-02-2020,626.8580933,630.2721737,619.0576461,627.6493852,25054993
28-02-2020,600.8114624,613.6312728,599.1609604,612.6816259,39315769
02-03-2020,595.1590576,619.0576196,588.3534761,612.7720799,29500495
03-03-2020,607.232666,612.2294508,597.8043566,601.2862947,27398798
04-03-2020,605.8082275,612.1842036,591.4283524,611.3702724,22105261
05-03-2020,592.8981323,614.0609525,590.5692936,611.4608033,30510390
06-03-2020,574.7423096,582.497538,561.2216437,574.2901255,33734039
09-03-2020,503.8152466,561.1764255,495.1556802,560.7468205,88187018
11-03-2020,521.6317749,532.8914592,501.0341884,501.0341884,59578576
12-03-2020,480.6853638,497.8688412,474.2189505,490.633715,55970485
13-03-2020,499.8132935,515.5045031,426.1504266,451.2925549,73297403
16-03-2020,459.2964478,488.2370424,454.4579274,479.5774763,38482258
17-03-2020,455.8145142,479.3287479,453.6439704,473.5632204,45445979
18-03-2020,437.9527893,468.4308724,434.5613181,463.6375701,44730415
19-03-2020,414.9811401,437.274448,403.4501147,416.0664121,61404010
20-03-2020,460.3138733,467.9786041,420.54314,424.8390091,63360475
23-03-2020,399.76474,429.5871248,395.966273,414.3028504,40670949
24-03-2020,426.6026001,438.6310279,405.0780355,420.5431527,45734887
25-03-2020,489.3901367,520.7273669,435.5787252,435.8274264,73130298
26-03-2020,482.1323853,505.0587815,471.3474934,495.517426,45744488
27-03-2020,481.8610535,500.7176715,473.0884415,495.1556568,41657940
30-03-2020,465.9663391,486.0212754,461.240895,470.5561582,30229866
31-03-2020,503.6343689,510.8921042,473.9024215,485.63693,44292810
01-04-2020,488.5762329,508.5407033,472.6362914,507.4780405,41597459
03-04-2020,487.2196045,512.9948507,477.6556399,512.9948507,41367807
07-04-2020,545.3947754,548.9670899,497.4166577,498.3662744,54373624
08-04-2020,539.0865479,555.7500423,524.5484391,533.592361,49880330
09-04-2020,551.6576538,557.4683697,539.4709617,548.9670682,33032857
13-04-2020,537.7300415,549.4193315,533.5924064,544.4225467,23673784
15-04-2020,519.9586792,558.9154541,516.8611277,541.3023712,35321842
16-04-2020,528.1887207,536.9613341,517.7656051,519.9587283,37455706
17-04-2020,553.4890747,556.2022999,539.3127113,549.8715417,33269335
20-04-2020,562.4425659,568.411516,543.5407298,554.3934485,36030932
21-04-2020,559.5259399,566.1505876,526.3573019,547.1583129,61371628
22-04-2020,616.6157227,626.2475445,587.856033,596.8999552,142683366
23-04-2020,619.9168091,626.677172,611.9581282,618.3115255,65464502
24-04-2020,640.7631226,676.0118671,609.1997688,610.533742,134986308
27-04-2020,646.5285645,666.9904655,643.4762317,648.4503768,58482901
28-04-2020,645.8051147,658.1500416,629.5260055,655.6856082,78453401
29-04-2020,645.2624512,657.3361282,642.1196813,653.379427,37494672
30-04-2020,662.9207153,676.011836,650.2818391,657.4717466,71345899
04-05-2020,648.9931641,662.4686127,640.9666245,651.1637081,53456868
05-05-2020,660.5014038,668.7992524,654.4193777,657.3586946,44903763
06-05-2020,660.5467529,671.4899094,653.6507345,662.0163814,40489094
07-05-2020,681.4381714,684.4679253,653.4246145,657.9465758,50026966
08-05-2020,706.241272,714.4259851,695.0719628,698.6443378,84262770
11-05-2020,713.0241699,730.298084,710.9892813,714.4711589,67085063
12-05-2020,668.9123535,709.2031628,662.4685794,707.5978188,100683202
13-05-2020,683.1044922,697.0500537,663.7267452,697.0500537,66430125
14-05-2020,655.4872437,683.2186244,652.7940015,670.5740122,49266771
15-05-2020,666.1917725,669.5241093,645.9695463,659.1619103,62152260
18-05-2020,657.6783447,676.5082789,651.8582107,671.0305128,62796089
19-05-2020,643.1393433,667.2417199,640.5602641,665.0962303,42315854
20-05-2020,654.4602051,660.4629638,635.8812955,643.641535,55320985
21-05-2020,657.9065552,667.1274868,650.4886846,655.0535095,39167981
22-05-2020,653.4786987,665.5526769,651.1734657,662.7225119,37828973
26-05-2020,650.0550537,661.763843,646.5172721,661.0562867,33216635
27-05-2020,659.8695068,663.7267759,644.5544729,653.2276532,35667956
28-05-2020,672.0575562,675.4811751,661.4443315,664.1832146,40126278
29-05-2020,668.4742432,671.9435033,663.1105792,670.117561,40022527
01-06-2020,694.0144043,702.2311134,673.746538,675.5953006,39943702
02-06-2020,701.0214233,702.9843489,694.2198265,696.5935815,22153960
03-06-2020,703.7376099,712.1140637,699.9487418,705.2668252,25381289
04-06-2020,721.1524048,725.5803072,703.4408555,704.8102669,34202350
05-06-2020,722.0196533,738.589995,718.3677691,728.0908731,33076685
08-06-2020,716.4505615,738.7726365,714.3964143,738.7726365,31414953
